station,ad_ordinary,ad_ordinary_perc,cd_ordinary,cd_ordinary_perc,ad_focused,ad_focused_perc,cd_focused,cd_focused_perc,total_observations,cd_all,CD-bias corrected,Processing group,Confirmed
STN087,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7270,0,,,
STN088,514,56.48%,0,0.00%,0,0.00%,0,0.00%,910,0,,,
STN090,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4333,0,,,
STN092,7861,100.00%,0,0.00%,0,0.00%,0,0.00%,7861,0,,,
STN093,145,100.00%,0,0.00%,0,0.00%,0,0.00%,145,0,,,
STN094,6,100.00%,0,0.00%,0,0.00%,0,0.00%,6,0,,,
STN095,1720,19.97%,0,0.00%,0,0.00%,0,0.00%,8613,0,,,
STN096,14182,43.81%,0,0.00%,0,0.00%,0,0.00%,32368,0,,,
STN098,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1896,0,,,
STN099,10731,48.38%,0,0.00%,0,0.00%,0,0.00%,22179,0,,,
STN100,4376,45.79%,0,0.00%,0,0.00%,0,0.00%,9556,0,,,
STN103,1481,99.33%,0,0.00%,0,0.00%,0,0.00%,1491,0,,,
STN104,1517,97.62%,0,0.00%,0,0.00%,0,0.00%,1554,0,,,
STN108,54,100.00%,0,0.00%,0,0.00%,0,0.00%,54,0,,,
STN112,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12436,0,,,
STN113,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7770,0,,,
STN114,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2157,0,,,
STN115,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10396,0,,,
STN116,1193,10.64%,0,0.00%,0,0.00%,0,0.00%,11216,0,,,
STN117,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9468,0,,,
STN118,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11294,0,,,
STN119,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5889,0,,,
STN120,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14133,0,,,
STN121,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5864,0,,,
STN122,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12256,0,,,
STN123,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14131,0,,,
STN124,289,100.00%,0,0.00%,0,0.00%,0,0.00%,289,0,,,
STN127,286,99.65%,0,0.00%,0,0.00%,0,0.00%,287,0,,,
STN128,1,0.01%,0,0.00%,0,0.00%,0,0.00%,10987,0,,,
STN129,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13051,0,,,
STN130,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13611,0,,,
STN131,299,91.72%,0,0.00%,0,0.00%,0,0.00%,326,0,,,
STN133,45,100.00%,0,0.00%,0,0.00%,0,0.00%,45,0,,,
STN142,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4462,0,,,
STN143,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11659,0,,,
STN144,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5061,0,,,
STN145,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4625,0,,,
STN147,10,0.11%,0,0.00%,0,0.00%,0,0.00%,9029,0,,,
STN148,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7909,0,,,
STN150,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4741,0,,,
STN152,17925,99.99%,0,0.00%,0,0.00%,0,0.00%,17927,0,,,
STN153,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11464,0,,,
STN154,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1213,0,,,
STN158,3021,99.93%,0,0.00%,0,0.00%,0,0.00%,3023,0,,,
STN161,0,0.00%,0,0.00%,0,0.00%,0,0.00%,938,0,,,
STN162,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1427,0,,,
STN164,154,98.72%,0,0.00%,0,0.00%,0,0.00%,156,0,,,
STN165,955,8.11%,0,0.00%,19,0.16%,0,0.00%,11776,0,,,
STN174,18,0.23%,0,0.00%,0,0.00%,0,0.00%,7730,0,,,
STN175,4294,99.93%,0,0.00%,0,0.00%,0,0.00%,4297,0,,,
STN180,4283,100.00%,0,0.00%,0,0.00%,0,0.00%,4283,0,,,
STN182,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4786,0,,,
STN183,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9780,0,,,
STN184,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6462,0,,,
STN185,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4178,0,,,
STN186,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3888,0,,,
STN187,10800,100.00%,0,0.00%,0,0.00%,0,0.00%,10800,0,,,
STN188,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,0,,,
STN189,0,0.00%,0,0.00%,0,0.00%,0,0.00%,51,0,,,
